specialty,product-cat,caption,vendor,order_date,expiry_date,quantity,unit_cost,total_cost,shelf_life_days,days_to_expiry,product_order_count,avg_reorder_gap_days,risk_score,risk_tier
Anesthesia Equipment,CPR Mask,Pocket CPR Mask,Opto Circuits India Limited,2023-07-02,2026-07-02,45,31.5,1417.5,1096,-27,36,29.194444444444443,100.0,Critical
Lab Plasticware,Lab Containers,Stool Container (100 Pcs.),Poly Medicure,2022-05-30,2026-05-30,14,130.98,1833.72,1461,-60,13,68.53846153846153,100.0,Critical
Hollowware,Super Deluxe Quality,"Dressing Drum 9"" x 9"" (Super Deluxe) Seamless",Poly Medicure,2022-04-05,2026-04-05,19,149.9,2848.1,1461,-115,8,114.125,100.0,Critical
Surgery,Forceps,Lanes Tissue Forceps,Reckitt Benckiser,2022-07-03,2026-07-03,25,59.9,1497.5,1461,-26,21,51.095238095238095,100.0,Critical
Sterilizers,Electric Autoclave,"Fully Automatic Microchip Controlled Autoclave, 9 Ltrs.",Wockhardt Limited,2022-10-06,2025-10-06,28,1635.362,45790.136,1096,-296,9,120.11111111111111,100.0,Critical
General,Stethoscope,IndoSurgicals Silvery III Stethoscope,Terumo,2022-04-23,2025-04-23,14,159.9,2238.6,1096,-462,21,51.19047619047619,100.0,Critical
Anesthesia Equipment,Oxygen Mask,Oxygen Mask for Child,SISCO ,2022-11-18,2025-11-18,11,19.9,218.9,1096,-253,35,30.34285714285714,100.0,Critical
Surgery,Forceps,Tungsten Carbide (TC) Ryder Needle Holder,Apollo Hospitals Enterprise Limited,2022-05-03,2026-05-03,45,189.9,8545.5,1461,-87,18,53.666666666666664,100.0,Critical
General,Cylinder,Humidifier Bottle 200ml Autoclavable Plastic,Rama Surgical House,2023-07-01,2026-07-01,22,70.446,1549.812,1096,-28,43,22.302325581395348,100.0,Critical
General,Cylinder,Oxygen Cylinder 10.2 Ltrs.,Bard,2022-07-05,2025-07-05,37,843.7,31216.9,1096,-389,33,30.87878787878788,100.0,Critical
Anesthesia Equipment,Anaesthesia Face Masks,"Face Mask, Size 0",Thyrocare Technologies Limited,2022-07-14,2025-07-14,9,19.6,176.4,1096,-380,37,29.054054054054053,100.0,Critical
Anesthesia Equipment,Oxygen Cylinder & Regulators,Oxygen Cylinder 5.0 Ltrs.,Johnson & Johnson,2022-06-24,2025-06-24,36,778.8,28036.8,1096,-400,41,23.024390243902438,100.0,Critical
General,Height & Weight Scales,"Digital Weighing Scale, Glass, 150 Kg",Arena Medical Care,2023-04-21,2026-04-21,1,129.8,129.8,1096,-99,17,61.05882352941177,100.0,Critical
General,Cylinder,Oxygen Cylinder 46.7 Ltrs.,Delux Surgical,2022-12-06,2025-12-06,3,1661.44,4984.32,1096,-235,44,23.818181818181817,100.0,Critical
Sterilizers,Electric Autoclave,"Fully Automatic Microchip Controlled Autoclave, 21 Ltrs.",HI-TECH LAB PRODUCTS,2022-10-23,2025-10-23,32,2011.9,64380.8,1096,-279,11,75.45454545454545,100.0,Critical
OPT Equipments,Electrosurgical Unit,Disposable Electrosurgical Control Pencil (3 Pin),Delux Surgical,2022-06-12,2026-06-12,26,12.5,325.0,1461,-47,5,174.6,100.0,Critical
Surgery,Suction Units Electric,Suction Unit (60 Ltrs./min),CDR MEDICAL INDUSTRIES,2022-04-15,2026-04-15,24,3124.9,74997.6,1461,-105,17,59.64705882352941,100.0,Critical
Sterilizers,Electric Autoclave,"Autoclave (21 litres) Electric, Pressure Cooker Type, Mirror Finish",Siemens Healthineers,2023-07-28,2026-07-28,45,669.9,30145.5,1096,-1,9,104.11111111111111,100.0,Critical
Sterilizers,Instrument Sterilizer,"Instrument Sterilizer (Electric) SS 304 Grade (Size 20"" x 8"" x 6"")",Hindustan Surgical,2022-07-02,2025-07-02,26,949.9,24697.4,1096,-392,12,87.58333333333333,100.0,Critical
General,Stethoscope,IndoSurgicals Silvery Stethoscope (Free Engraving),Gesco Healthcare,2023-04-27,2026-04-27,17,74.9,1273.3,1096,-93,26,38.57692307692308,100.0,Critical
Anesthesia Equipment,Laryngoscope,LED Laryngoscope Set Macintosh (Deluxe Quality),ACCURATE MACHINES,2022-08-11,2025-08-11,3,276.998,830.994,1096,-352,16,66.1875,100.0,Critical
Surgery,Scissors,Dressing Scissors (Curved) Blunt/Sharp,Terumo,2022-07-19,2026-07-19,37,34.9,1291.3,1461,-10,11,65.0909090909091,100.0,Critical
General,Height & Weight Scales,Height Measuring Scale / Stadiometer (General Quality),Inor Medical Products Ltd,2022-07-02,2025-07-02,36,119.9,4316.4,1096,-392,16,65.4375,100.0,Critical
Surgery,Forceps,"Wilson Artery Forceps, 8""",Lotus Surgicals,2022-07-17,2026-07-17,47,61.6,2895.2,1461,-12,11,82.63636363636364,100.0,Critical
Misc Products,Capsules,Merck pH Buffer Capsules,AJMERA BIO-MEDICAL ENGINEERS,2022-07-18,2026-07-18,18,134.9,2428.2,1461,-11,8,117.75,100.0,Critical
General,Stethoscope,DulcetÂ® II-BR Pediatric/Neonatal Stethoscope,Becton Dickinson,2022-04-11,2025-04-11,8,59.9,479.2,1096,-474,22,47.54545454545455,100.0,Critical
Anesthesia Equipment,Oxygen Cylinder & Regulators,Oxygen Cylinder 3.0 Ltrs.,Karl Storz,2022-09-19,2025-09-19,13,674.96,8774.48,1096,-313,35,29.0,100.0,Critical
Sterilizers,Non-Electric Autoclave,"Autoclave (29 litres) Non-Electric, Pressure Cooker Type, Mirror Finish",Hindustan Syringes,2023-03-23,2026-03-23,24,1049.9,25197.6,1096,-128,8,91.125,100.0,Critical
Laparoscopic Instrument,Trocar with Cannula,Trocar & Cannula 7mm,Rama Surgical House,2022-04-14,2026-04-14,20,422.9,8458.0,1461,-106,4,260.5,100.0,Critical
Anesthesia Equipment,Anaesthesia Face Masks,"Face Mask, Size 3",Reckitt Benckiser,2022-10-23,2025-10-23,26,22.4,582.4,1096,-279,18,52.888888888888886,100.0,Critical
Hollowware,Waste Bin Stainless Steel,Waste Bin Foot Operated,Tynor Orthotics,2022-04-07,2026-04-07,28,61.6,1724.8,1461,-113,11,95.36363636363636,100.0,Critical
Lab Equipment,Small Centrifuge,"Small Centrifuge Without Timer, 4 x 15ml",Abbott,2022-06-06,2026-06-06,21,896.8,18832.8,1461,-53,7,100.57142857142857,100.0,Critical
Surgery,Retractor,"Balfour Abdominal Retractor 3""",Becton Dickinson,2022-07-13,2026-07-13,22,218.9,4815.8,1461,-16,12,75.16666666666667,100.0,Critical
Sterilizers,Electric Autoclave,"Autoclave (21 litres) Electric, Pressure Cooker Type, Mirror Finish",Vishal Surgitech,2023-03-12,2026-03-12,26,669.9,17417.4,1096,-139,9,104.11111111111111,100.0,Critical
Anesthesia Equipment,CPR Mask,Pocket CPR Mask,Terumo,2022-11-19,2025-11-19,49,31.5,1543.5,1096,-252,36,29.194444444444443,100.0,Critical
General,Cylinder,Oxygen Cylinder 46.7 Ltrs.,Boston Scientific,2022-05-12,2025-05-12,5,1661.44,8307.2,1096,-443,44,23.818181818181817,100.0,Critical
Ortho Aid,Cervical Splints,Ambulance Collar,Fortis Healthcare Limited,2022-07-22,2026-07-22,30,51.555,1546.65,1461,-7,4,193.0,100.0,Critical
General,Height & Weight Scales,"Baby Weighing Scale, Salter Type (Dial), ABS Plastic Body with Trouser",Intersurgical,2022-09-28,2025-09-28,34,99.9,3396.6,1096,-304,17,63.88235294117647,100.0,Critical
Furniture,Hospital Ward Furniture,Examination Table 2 Section,Rama Surgical House,2022-07-06,2026-07-06,34,1770.0,60180.0,1461,-23,4,133.5,100.0,Critical
Anesthesia Equipment,Laryngoscope,Laryngoscope Blade (Miller),Trivitron Healthcare Private Limited,2022-08-30,2025-08-30,8,39.2,313.6,1096,-333,27,35.51851851851852,100.0,Critical
Anesthesia Equipment,Laryngoscope,LED Laryngoscope Set Miller (Deluxe Quality),Boston Scientific,2022-06-13,2025-06-13,10,240.24,2402.4,1096,-411,31,34.45161290322581,100.0,Critical
General,Height & Weight Scales,Mid Upper Arm Circumference (MUAC) Tape,M/S IMADE TECHNOLOGY PRIVATE LIMITED,2023-01-14,2026-01-14,3,1.9,5.7,1096,-196,18,59.333333333333336,100.0,Critical
General,Stethoscope,IndoSurgicals Dulcet Black Stethoscope,Sree Balaji Surgicals,2023-04-26,2026-04-26,21,21.9,459.9,1096,-94,27,40.48148148148148,100.0,Critical
Anesthesia Equipment,Anaesthesia Face Masks,"Face Mask, Size 4",Fresenius,2023-01-08,2026-01-08,32,22.4,716.8,1096,-202,21,50.523809523809526,100.0,Critical
Sterilizers,Non-Electric Autoclave,"Autoclave (21 litres) Non-Electric, Pressure Cooker Type, Mirror Finish",Apollo Hospitals Enterprise Limited,2023-06-01,2026-06-01,45,649.9,29245.5,1096,-58,10,63.2,100.0,Critical
Sterilizers,Sterilization Cassette,Instrument Sterilization Cassette,Palakkad Surgical,2023-02-05,2026-02-05,30,89.6,2688.0,1096,-174,8,96.0,100.0,Critical
Anesthesia Equipment,Anaesthesia Face Masks,"Face Mask, Size 0",Ben Franklin Opticians,2022-04-18,2025-04-18,43,19.6,842.8,1096,-467,37,29.054054054054053,100.0,Critical
Laparoscopic Instrument,Trocar with Cannula,Trocar Cannula (Blunt),Girish Surgical Works,2022-05-22,2026-05-22,49,422.9,20722.1,1461,-68,6,139.5,100.0,Critical
Surgery,Instrument Kit,Minor Surgery Set,Palakkad Surgical,2022-04-05,2026-04-05,46,722.4,33230.4,1461,-115,14,67.21428571428571,100.0,Critical
General,Stethoscope,IndoSurgicals Silvery II-SS Stethoscope (Free Engraving),Ambu,2023-05-28,2026-05-28,40,119.9,4796.0,1096,-62,19,46.68421052631579,100.0,Critical
Anesthesia Equipment,Laryngoscope,LED Laryngoscope Set Miller (1 Year Warranty),B. Braun,2022-05-22,2025-05-22,4,207.2,828.8,1096,-433,24,43.416666666666664,100.0,Critical
ENT Instruments,Knife,Sickle Knife Pointed,AJMERA BIO-MEDICAL ENGINEERS,2022-05-15,2026-05-15,12,39.9,478.8,1461,-75,3,119.33333333333333,100.0,Critical
Anesthesia Equipment,Rebreathing Bags,"Rebreathing Bag - Green Rubber, 2 Litre",Becton Dickinson,2023-01-26,2026-01-26,12,16.8,201.6,1096,-184,16,67.5625,100.0,Critical
Rubber Products,Rectal Syringe,Rubber Infant / Rectal Syringe,Fresenius,2022-06-26,2026-06-26,38,22.066,838.508,1461,-33,4,203.25,100.0,Critical
General,Stethoscope,DulcetÂ® Paediatric/Neonatal Stethoscope,Siemens Healthineers,2022-12-16,2025-12-16,13,129.9,1688.7,1096,-225,22,47.45454545454545,100.0,Critical
Surgery,Forceps,Mosquito Artery Forceps Straight/Hemostatic Forceps,Poly Medicure,2022-06-08,2026-06-08,28,33.6,940.8,1461,-51,15,62.666666666666664,100.0,Critical
Surgery,Forceps,Hartmann Alligator Forceps,Becton Dickinson,2022-07-14,2026-07-14,15,119.9,1798.5,1461,-15,22,43.13636363636363,100.0,Critical
Lab Plasticware,General Labware,Desiccator (Vacuum),Terumo,2022-06-03,2026-06-03,6,197.768,1186.608,1461,-56,4,178.5,100.0,Critical
General,Height & Weight Scales,Height Measuring Scale / Stadiometer (Deluxe Quality),Baxter,2022-09-14,2025-09-14,49,164.9,8080.1,1096,-318,27,37.2962962962963,100.0,Critical
Radiology Aid,Lead Aprons,Lead Apron (Velcro Type) BARC Approved,M/S IMADE TECHNOLOGY PRIVATE LIMITED,2022-05-09,2026-05-09,47,379.9,17855.3,1461,-81,9,107.44444444444444,100.0,Critical
Anesthesia Equipment,Oxygen Cylinder & Regulators,Oxygen Cylinder 10.2 Ltrs.,GE Healthcare,2022-08-23,2025-08-23,42,843.7,35435.4,1096,-340,33,30.87878787878788,100.0,Critical
Surgery,Forceps,Kogan Endocervical Speculum,Bauch & Lomb,2022-05-29,2026-05-29,49,479.9,23515.1,1461,-61,22,37.22727272727273,100.0,Critical
Rubber Products,Rectal Syringe,Rubber Infant / Rectal Syringe,Johnson & Johnson,2022-05-08,2026-05-08,2,22.066,44.132,1461,-82,4,203.25,100.0,Critical
Lab Plasticware,Racks & Stands,Test Tube Stand (3-Tier) Polycarbonate (Pack of 2 Pcs.),ACCURATE MACHINES,2022-06-01,2026-06-01,43,99.12,4262.16,1461,-58,7,132.42857142857142,100.0,Critical
Surgery,Retractor,Kirschner Retractor with 4 Doyens Blades (Square Frame),Tynor Orthotics,2022-06-06,2026-06-06,38,1056.9,40162.2,1461,-53,14,60.857142857142854,100.0,Critical
Sterilizers,Electric Autoclave,"Fully Automatic Microchip Controlled Autoclave, 9 Ltrs.",Bauch & Lomb,2022-09-02,2025-09-02,39,1635.362,63779.118,1096,-330,9,120.11111111111111,100.0,Critical
Surgery,Forceps,Right Angle Artery Forceps,SISCO ,2022-07-10,2026-07-10,3,39.9,119.7,1461,-19,15,68.8,100.0,Critical
Anesthesia Equipment,Anaesthesia Face Masks,"Face Mask, Size 1",Thyrocare Technologies Limited,2022-12-07,2025-12-07,8,19.6,156.8,1096,-234,19,56.1578947368421,100.0,Critical
Sterilizers,Instrument Sterilizer,"Instrument Sterilizer (Electric) SS 304 Grade (Size 17"" x 8"" x 6"")",Medtronic,2022-09-22,2025-09-22,43,919.9,39555.7,1096,-310,9,111.0,100.0,Critical
Radiology Aid,Gonad & Ovarian Shields,Gonad/Ovary Shield (BARC Approved),Johnson & Johnson,2022-04-21,2026-04-21,41,148.4,6084.4,1461,-99,10,97.9,100.0,Critical
Surgery,Suction Units Portable,"Suction Unit - AC/DC, MS (15 Ltrs./Min)",Cook India,2022-06-14,2026-06-14,19,1976.8,37559.2,1461,-45,10,97.4,100.0,Critical
General,Height & Weight Scales,Baby Weighing Balance / Scale (Spring type) with Sling,Siemens Healthineers,2023-02-10,2026-02-10,22,35.4,778.8,1096,-169,18,52.94444444444444,100.0,Critical
Surgery,Scalpel,BP Scalpel Handle No. 3 & 4,Girish Surgical Works,2022-05-09,2026-05-09,28,8.9,249.2,1461,-81,19,52.578947368421055,100.0,Critical
General,Height & Weight Scales,"Baby Weighing Scale, Salter Type (Dial), Metal Body With Trouser",Johnson & Johnson,2022-12-23,2025-12-23,8,109.9,879.2,1096,-218,16,64.625,100.0,Critical
General,Resuscitator,Silicone Artificial Resuscitator (Ambu Type Bag) Adult,Reckitt Benckiser,2022-07-08,2025-07-08,36,89.9,3236.4,1096,-386,37,27.135135135135137,100.0,Critical
General,Height & Weight Scales,"Baby Weighing Scale, Salter Type (Dial), Metal Body With Trouser",Reckitt Benckiser,2022-09-02,2025-09-02,20,109.9,2198.0,1096,-330,16,64.625,100.0,Critical
Anesthesia Equipment,Mouth Opener,Emergency Mouth Opener,Olympus,2022-09-17,2025-09-17,33,16.8,554.4,1096,-315,18,60.388888888888886,100.0,Critical
General,Height & Weight Scales,Digital Baby Weighing Scale,KLS Martin India,2022-10-18,2025-10-18,2,369.9,739.8,1096,-284,21,51.38095238095238,100.0,Critical
Neurology Instruments,Hammer,Neurological Reflex Medical Hammer Set,Karl Storz,2022-07-11,2026-07-11,49,119.9,5875.1,1461,-18,8,109.25,100.0,Critical
Anesthesia Equipment,Oxygen Cylinder & Regulators,Oxygen Regulator with Pressure Gauge,Trivitron Healthcare Private Limited,2023-07-02,2026-07-02,17,84.9,1443.3,1096,-27,44,23.886363636363637,100.0,Critical
General,Stethoscope,IndoSurgicals Silvery III Stethoscope,Vishal Surgitech,2022-09-11,2025-09-11,31,159.9,4956.9,1096,-321,21,51.19047619047619,100.0,Critical
Sterilizers,Instrument Sterilizer,"Instrument Sterilizer (Electric) SS 304 Grade (Size 17"" x 8"" x 6"")",Siemens Healthineers,2022-07-31,2025-07-31,5,919.9,4599.5,1096,-363,9,111.0,100.0,Critical
Anesthesia Equipment,Anaesthesia Face Masks,"Face Mask, Size 1",Romsons,2022-09-18,2025-09-18,10,19.6,196.0,1096,-314,19,56.1578947368421,100.0,Critical
Ortho Instruments,Screwdriver,Hexagonal Screwdriver,Inor Medical Products Ltd,2022-05-16,2026-05-16,23,61.6,1416.8,1461,-74,7,138.57142857142858,100.0,Critical
OPT Equipments,Electrosurgical Unit,Electrosurgical Unit (Diathermy Machine) 400 DX+,Bard,2022-05-14,2026-05-14,44,6249.6,274982.4,1461,-76,10,97.0,100.0,Critical
Surgery,Scissors,Tonsil Scissors (Curved),Bauch & Lomb,2022-07-16,2026-07-16,11,37.9,416.9,1461,-13,18,57.72222222222222,100.0,Critical
Surgery,Forceps,"GREY Gall Duct Forceps (Plain) 10""",Cook India,2022-05-01,2026-05-01,32,76.9,2460.8,1461,-89,12,87.41666666666667,100.0,Critical
General,Cylinder,Oxygen Cylinder 10.2 Ltrs.,Dolphin Surgical,2022-08-26,2025-08-26,5,843.7,4218.5,1096,-337,33,30.87878787878788,100.0,Critical
General,Height & Weight Scales,Weighing Trouser for Baby Weighing scales (Pack of 5 Pcs.),Integra,2023-07-27,2026-07-27,23,49.9,1147.7,1096,-2,21,48.714285714285715,100.0,Critical
General,Stethoscope,DulcetÂ® Paediatric/Neonatal Stethoscope,GE Healthcare,2023-02-27,2026-02-27,41,129.9,5325.9,1096,-152,22,47.45454545454545,100.0,Critical
Surgery,Forceps,"Negus Artery Forceps 8""",Medtronic,2022-05-22,2026-05-22,35,64.9,2271.5,1461,-68,13,79.15384615384616,100.0,Critical
Surgery,Suction Units Electric,Suction Unit (60 Ltrs./min),Ambu,2022-07-16,2026-07-16,22,3124.9,68747.8,1461,-13,17,59.64705882352941,100.0,Critical
Surgery,Forceps,Kelly Placenta Forceps (PPIUCD Forceps),GPC Medical,2022-05-09,2026-05-09,37,57.5,2127.5,1461,-81,15,67.13333333333334,100.0,Critical
General,Cylinder,Oxygen Cylinder 5.0 Ltrs.,Abbott,2023-06-20,2026-06-20,33,778.8,25700.4,1096,-39,41,23.024390243902438,100.0,Critical
Sterilizers,Ultraviolet Chamber,"UV Cabinet, 12 Trays",Siemens Healthineers,2023-03-03,2026-03-03,39,849.9,33146.1,1096,-148,7,99.0,100.0,Critical
Anesthesia Equipment,Artificial Resuscitator,Silicone Artificial Resuscitator (Ambu Type Bag) Child,Medtronic,2023-03-27,2026-03-27,14,79.9,1118.6,1096,-124,48,21.979166666666668,100.0,Critical
Cardiothoracic Instrument,Clamp,DeBakey Bulldog Clamp (Straight),Delux Surgical,2022-04-21,2026-04-21,16,94.9,1518.4,1461,-99,15,68.86666666666666,100.0,Critical
Anesthesia Equipment,Emergency FIRST AID Kit,Emergency Resuscitation Kit,Rama Surgical House,2022-09-16,2025-09-16,1,6825.28,6825.28,1096,-316,15,64.53333333333333,100.0,Critical
Surgery,Forceps,Dandy Artery Forceps,Braun Medical India,2022-06-20,2026-06-20,17,43.9,746.3,1461,-39,13,77.0,100.0,Critical
Opthalmology Instruments,Forceps,Suture Tying Forcep (Straight),Johnson & Johnson,2022-05-14,2026-05-14,99,58.9,5831.1,1461,-76,25,40.68,100.0,Critical
General,Resuscitator,Silicone Artificial Resuscitator (Ambu Type Bag) Infant,AJMERA BIO-MEDICAL ENGINEERS,2023-03-27,2026-03-27,35,79.9,2796.5,1096,-124,45,23.755555555555556,100.0,Critical
Opthalmology Instruments,Forceps,Hess Iris Forceps,Ambu,2022-07-04,2026-07-04,44,49.9,2195.6,1461,-25,7,127.57142857142857,100.0,Critical
Opthalmology Instruments,Caliper,Castroviejo Caliper (Straight),HI-TECH LAB PRODUCTS,2022-06-17,2026-06-17,5,119.9,599.5,1461,-42,6,131.16666666666666,100.0,Critical
Surgery,Suction Units Electric,Suction Unit - MS (35 Ltrs./Min),Intersurgical,2022-07-19,2026-07-19,11,2335.2,25687.2,1461,-10,14,67.85714285714286,100.0,Critical
General,Stethoscope,DulcetÂ® II-BR Pediatric/Neonatal Stethoscope,Romsons Group Of Industries,2023-01-09,2026-01-09,19,59.9,1138.1,1096,-201,22,47.54545454545455,100.0,Critical
Anesthesia Equipment,Air Cushion Face Masks,Anaesthesia Face Mask Transparent aircushion with valve,Shilpa Medicare Limited,2023-03-20,2026-03-20,4,25.2,100.8,1096,-131,23,44.56521739130435,100.0,Critical
Surgery,Forceps,Artery Forceps (Curved),Thyrocare Technologies Limited,2022-07-02,2026-07-02,15,33.9,508.5,1461,-27,17,53.05882352941177,100.0,Critical
General,Height & Weight Scales,Height Measuring Scale / Stadiometer (Deluxe Quality),Apollo Hospitals Enterprise Limited,2022-11-27,2025-11-27,5,164.9,824.5,1096,-244,27,37.2962962962963,100.0,Critical
Rubber Products,Tourniquet,Tourniquet (2 Pcs.),ACCURATE MACHINES,2022-04-19,2026-04-19,11,15.456,170.016,1461,-101,2,260.5,100.0,Critical
Anesthesia Equipment,Oxygen Cylinder & Regulators,Portable Oxygen Cylinder 6 liters,Abbott,2022-06-15,2025-06-15,42,80.08,3363.36,1096,-409,48,20.666666666666668,100.0,Critical
General,Resuscitator,Silicone Artificial Resuscitator (Ambu Type Bag) Child,Opto Circuits India Limited,2022-10-17,2025-10-17,25,79.9,1997.5,1096,-285,48,21.979166666666668,100.0,Critical
Anesthesia Equipment,Anaesthesia Face Masks,"Face Mask, Size 3",Bard,2022-11-07,2025-11-07,35,22.4,784.0,1096,-264,18,52.888888888888886,100.0,Critical
Anesthesia Equipment,Rebreathing Bags,"Rebreathing Bags - Green Rubber, 1 Litre",Romsons Group Of Industries,2022-09-09,2025-09-09,44,16.8,739.2,1096,-323,23,45.391304347826086,100.0,Critical
Anesthesia Equipment,Laryngoscope,LED Laryngoscope Set Miller (Deluxe Quality),Wockhardt Limited,2022-10-01,2025-10-01,7,240.24,1681.68,1096,-301,31,34.45161290322581,100.0,Critical
