specialty,product-cat,caption,price,description,weight,vendor,order_date,expiry_date,quantity,unit_cost,total_cost
Anesthesia Equipment,Laryngoscope,LED Laryngoscope Set Macintosh (1 Year Warranty),2240,LED laryngoscope Set Macintosh Type (1 Year Warranty)Stainless Steel blades with removable LED lamp ..,0.00199005,Bard,16/04/2023,16/04/2026,8,224,1792
OB/GYN Instruments,OB/GYN,"Maingot Hysterectomy Clamp Curved, 8""",749,Material: High-quality stainless steelLength: 8 inches for precise handlingDesign: Curved jaws for f..,0.000497512,Thyrocare Technologies Limited,3/3/2023,3/3/2027,23,74.9,1722.7
Surgery,Scissors,Tonsil Scissors (Curved),379,"Item Code    Size  94090    6""  94091    7""  94092    8""..",0.001492537,Ambu,30/06/2022,30/06/2026,1,37.9,37.9
Surgery,Forceps,Allis Tissue Forceps Straight,369,"Size : 5"", 6"", 8"" & 10""Forgings from stainless steel.Silk matte satin finishTo grasp and handle ..",0.001492537,Rama Surgical House,28/08/2023,28/08/2027,24,36.9,885.6
Other Instruments,Hook,Spay Hook,252,Spay HookManufactured from stainless steel.Highly polished finish for aesthetic and corrosion resist..,0.000497512,Hindustan Surgical,20/07/2024,20/07/2028,34,25.2,856.8
Surgery,Scalpel,B.P. Handle (Scalpel Handle) No. 7,168,"B.P. Handle (Scalpel Handle) No. 7, stainless steel",0.001492537,Sree Balaji Surgicals,11/2/2025,11/2/2029,9,16.8,151.2
Surgery,Suction Units Electric,Suction Unit - MS (125 Ltrs./Min),78999,Housing : Powder coated anti corrosive MSJars : Polycarbonate 2 X 4 Ltrs. capacityOverflow Protectio..,0.001492537,Palakkad Surgical,1/9/2022,1/9/2026,44,7899.9,347595.6
Surgery,Retractor,Tracheal Hook/Retractor Sharp Two Prongs,235,Tracheal Hook/Retractor Sharp Two Prongs.Manufactured from stainless steel.Highly polished finish fo..,0.001492537,Trivitron Healthcare Private Limited,12/6/2023,12/6/2027,6,23.5,141
Lab Equipment,Medium Centrifuge,"Medium Centrifuge Without Timer, 4 x 15ml",9829.4,Item Code                  30204Â  View Price                  30205 Â  View Price    ..,0.000497512,Hindustan Surgical,30/08/2023,30/08/2027,2,982.94,1965.88
Sterilizers,Non-Electric Autoclave,"Autoclave (24 litres) Non-Electric, Pressure Cooker Type, Mirror Finish",7399,"Mirror Finish, Non-Electric (External Fuel Heated)Approx. Size (Dia. X H): 300mm X 300mm + 50mm Lid...",0.000995025,KLS Martin India,4/2/2024,4/2/2027,22,739.9,16277.8
Surgery,Scalpel,B.P. Handle (Scalpel Handle) No. 10,224,"B.P. Handle (Scalpel Handle) No. 10, stainless steel",0.001492537,Palakkad Surgical,1/4/2022,1/4/2026,45,22.4,1008
Surgery,Scissors,Stevens Tenotomy Scissors (Straight),469,"Stevens Tenotomy Scissors (Straight)SKUSize941456""941467""..",0.001492537,Siemens Healthineers,8/5/2024,8/5/2028,28,46.9,1313.2
Surgery,Retractor,Kilner (Cat Paw) Retractor,224,Kilner (Cat Paw) Retractor..,0.001492537,Wockhardt Limited,8/4/2022,8/4/2026,31,22.4,694.4
Radiology Aid,Lead Aprons,StPbÂ® Frontal Protection Lead Vest & Skirt,9632,A two piece garment consisting of a frontal vest to protect the upper torso from the front and a ski..,0.000497512,Apollo Hospitals Enterprise Limited,5/7/2024,5/7/2028,22,963.2,21190.4
General,Height & Weight Scales,"Digital Baby/Child Weighing Machine, Capacity 20 Kg.",5664,Max. Capacity : 20Kg. x 10GBattery : AlkalineDimension (cm) Approx. : 30 x 28 x 6Pan (cm) Approx. : ..,0.00199005,Trivitron Healthcare Private Limited,16/05/2023,16/05/2026,2,566.4,1132.8
Surgery,Suction Units - Electric Cum Manual,Suction Unit - Dual Power - (45 Ltrs./min) (Electric cum Manual),24416,"Housing: MS Powder Coated, SS Top on two wheelsCapacity (Electrical): -600mm Hg Â± 10 , 45 Ltrs/ minC..",0.001492537,Dr. Lal PathLabs Limited,7/7/2023,7/7/2027,42,2441.6,102547.2
ENT Instruments,Instrument Set,Stapedectomy Instruments (Set of 9),2599,Stainless SteelReusablePremium Grade..,0.000497512,Santosh Surgical Instruments,30/04/2022,30/04/2026,9,259.9,2339.1
Furniture,Hospital Trolleys,Crash Cart Trolley,23221.22,Overall approx size: 940 mm x 490 mm x 1535 mm (L x W x H).Â M. S. tubular frame.Â Six remov..,0.000497512,M/S IMADE TECHNOLOGY PRIVATE LIMITED,25/05/2022,25/05/2026,47,2322.122,109139.734
Opthalmology Instruments,Probe,Bowman Lacrimal Probe Set of 4,419,Stainless SteelReusablePremium Grade..,0.000497512,ACCURATE MACHINES,2/4/2023,2/4/2027,25,41.9,1047.5
Ortho Aid,Knee Calf & Ankle Splints,Tubular Knee Support With Hinges,309.75,"Size :        Small, Medium, Large, XLarge        Specifications :        High quality and long  sta..",0.000497512,Becton Dickinson,15/06/2023,15/06/2027,1,30.975,30.975
Surgery,Forceps,"Tonsil Artery Forceps (Straight) 8""",649,Stainless SteelReusablePremium Grade..,0.001492537,M/S IMADE TECHNOLOGY PRIVATE LIMITED,17/01/2025,17/01/2029,27,64.9,1752.3
Opthalmology Instruments,Forceps,Utrata Capsulorhexis Forceps,589,Stainless SteelReusablePremium Grade..,0.000497512,Inor Medical Products Ltd,27/06/2022,27/06/2026,39,58.9,2297.1
Surgery,Suction Units Electric,Suction Unit - MS (100 Ltrs./Min),56873.6,Housing : Powder coated anti corrosive MSJars : Polycarbonate 2 X 2.5 Ltrs. capacityOverflow Protect..,0.001492537,Dr. Lal PathLabs Limited,15/08/2022,15/08/2026,25,5687.36,142184
Laparoscopic Instrument,Needle Holder,Ethicon Type Needle Holder Straight Jaw,3699,Ethicon Type Needle Holder Straight Jaw..,0.000497512,B. Braun,14/10/2022,14/10/2026,3,369.9,1109.7
Lab Equipment,Blood Cell Counter,Blood Cell Counter (8 Key),1299,"ABS outer shell can resist collectionAt one hundred increments of the total records, the bell sound ..",0.000497512,Intersurgical,7/4/2024,7/4/2028,12,129.9,1558.8
Surgery,Forceps,Bozeman Needle Holder,359,"Item Code    Size  931706""  93171    8""  93172    10""..",0.001492537,Tynor Orthotics,25/02/2024,25/02/2028,43,35.9,1543.7
OB/GYN Instruments,OB/GYN,Wrigley Obstetrical Forceps,1249,Wrigley Obstetrical ForcepsGrasping ForcepsMaterial: Stainless Steel..,0.000497512,Stryker,6/1/2024,6/1/2028,31,124.9,3871.9
Surgery,Forceps,Crile Artery Forceps (Curved),359,"Stainless SteelReusablePremium GradeSKUSize933456""933478""..",0.001492537,CDR MEDICAL INDUSTRIES,25/12/2023,25/12/2027,16,35.9,574.4
Other Instruments,Oximeter,Fingertip Pulse Oximeter,1999,Fingertip Pulse Oximeter,0.000497512,Olympus,14/11/2022,14/11/2026,4,199.9,799.6
OPT Equipments,OT Lights,O.T. Light LED Ceiling Twin Model,237209.5,"Operating voltage: 180 to 270 V/AC 50HzÂ Power supply: 850V/DCÂ Dome: 22"" Dia. EachÂ Lig..",0.000497512,Arena Medical Care,4/11/2023,4/11/2027,25,23720.95,593023.75
Anesthesia Equipment,Oxygen Cylinder & Regulators,Emergency Oxygen Cylinder Kit,8260,Emergency Use.It is Handy and Portable.At the time of shifting patient to the Hospital and Home Use...,0.00199005,Cook India,4/1/2025,4/1/2028,21,826,17346
Other Instruments,Circuit,Bain Circuit,499,Adult Size-22mm corrugated tube,0.000497512,Reckitt Benckiser,28/11/2023,28/11/2027,10,49.9,499
Opthalmology Instruments,Scissors,Castroviejo Universal Corneal Scissors,629,Stainless SteelReusablePremium Grade..,0.000497512,M/S IMADE TECHNOLOGY PRIVATE LIMITED,28/07/2023,28/07/2027,45,62.9,2830.5
General,Height & Weight Scales,Height Measuring Scale with Mechanical Weighing Scale,2714,A stadiometer is a piece of medical equipment used for measuring human height. It is usually constru..,0.00199005,Terumo,21/03/2025,21/03/2028,5,271.4,1357
Surgery,Retractor,Czerny Retractor,379,"Item Code    Size    97021    6""    97022    7""    97023    9""..",0.001492537,M/S IMADE TECHNOLOGY PRIVATE LIMITED,20/07/2024,20/07/2028,19,37.9,720.1
Anesthesia Equipment,Oxygen Cylinder & Regulators,Oxygen Cylinder 2.0 Ltrs.,6490,"Empty Oxygen Cylinder, Water capacity 2.0 Litre.Supplied with F A Valve with Flowmeter and Pressur..",0.00199005,Girish Surgical Works,6/9/2024,6/9/2027,9,649,5841
Disposables,General Surgery & Oncology,Sterimed Yankauer Suction Set with Standard Tip,145,"Used for removal of secretion and blood pass during surgical proceduresMade from non-toxic, non-irri..",0.000497512,Abbott,9/6/2022,9/6/2026,22,14.5,319
Lab Equipment,Laboratory Microscope,Trinocular Microscope,49955.36,"Advanced Microscope for analytical and research  work in Colleges, Laboratories, Hospital and Resear..",0.000497512,Shilpa Medicare Limited,3/3/2023,3/3/2027,10,4995.536,49955.36
Linen,Hospital Uniform,"IndoSurgicals Scrub Suit for Doctors, Unisex, Poly Cotton (Navy Blue)",699,Return/Replacement will not allow after Embroidery.Fit Type: Regular FitV-neck tunic styling. Side v..,0.000497512,Santosh Surgical Instruments,23/04/2024,23/04/2028,10,69.9,699
Lab Equipment,Laboratory Hot Plates,Laboratory Rectangular Heating Plate with Cast Iron Top 2kw with Thermostat upto 300 Degree,13255.2,This is very useful  for continuous heating upto 350ÂºC.                     The body is made of  s..,0.000497512,Trivitron Healthcare Private Limited,2/1/2023,2/1/2027,17,1325.52,22533.84
Other Instruments,Tonometer,Schiotz Tonometer,2849,Schiotz Tonometer,0.000497512,Sree Balaji Surgicals,20/02/2023,20/02/2027,17,284.9,4843.3
Surgery,Forceps,Tungsten Carbide (TC) Ryder Needle Holder,1899,"Tungsten Carbide (TC) Ryder Needle HolderSKUSize965766""965778""..",0.001492537,Opto Circuits India Limited,11/12/2024,11/12/2028,39,189.9,7406.1
Radiology Aid,Lead Apron Racks,Wall Mounted Lead Apron Rack (SS 304 Grade) for Lead Aprons,3422,"Stainless Steel 304 Grade, The wall mounted foldaway lead apron rack is designed as a simple solutio..",0.000497512,Intersurgical,26/04/2024,26/04/2028,37,342.2,12661.4
Ortho Instruments,Plier,Orthopedic Wire Tightening Plier,1149,Orthopedic Wire Tightening Plier..,0.000497512,GPC Medical,11/1/2023,11/1/2027,44,114.9,5055.6
Anesthesia Equipment,Oxygen Cylinder & Regulators,Flow Meter with Humidifier Bottle,1699,Flow Meter with Humidifier Bottle..,0.00199005,KLS Martin India,5/12/2024,5/12/2027,32,169.9,5436.8
Opthalmology Instruments,Forceps,Eye Dressing Forceps,389,Stainless SteelReusablePremium Grade..,0.000497512,Bauch & Lomb,7/4/2023,7/4/2027,5,38.9,194.5
General,Cylinder,Humidifier Bottle 200ml Autoclavable Plastic,704.46,Humidifier Bottle 200ml Autoclavable Plastic..,0.00199005,KLS Martin India,29/11/2022,29/11/2025,47,70.446,3310.962
Lab Plasticware,Racks & Stands,Retort Stand,755.2,"These non-corrosive, moulded retort stands provide excellent replacement for the metal ones. Even th..",0.000497512,Shilpa Medicare Limited,16/03/2024,16/03/2028,46,75.52,3473.92
Surgery,Instrument Kit,Podiatry Instrument Kit,4424,"Podiatry Kit SpecificationsOur full podiatry kit includes the following 10 essential tools, each mad..",0.001492537,KLS Martin India,17/11/2024,17/11/2028,26,442.4,11502.4
Rubber Products,Rectal Syringe,Rubber Infant / Rectal Syringe,220.66,The Infant Enema Syringe was made to relieve constipation in infants.The Length of the Nozel is 55 m..,0.000497512,Wockhardt Limited,29/07/2024,29/07/2028,40,22.066,882.64
Rubber Products,Enema Kit / Douche Bag,"Douche Bag, 2 litre",584.1,High Quality - Superior 2 liter Rubber Latex Bag with Superior Tubing and Smooth Nozzles.Fountain to..,0.000497512,Hindustan Surgical,22/11/2023,22/11/2027,20,58.41,1168.2
Surgery,Scalpel,B.P. Handle (Scalpel Handle) No. 5,168,"B.P. Handle (Scalpel Handle) No. 5, B.P. scalpel handle No. 5 is a reusable, stainless steel",0.001492537,Narang,14/11/2023,14/11/2027,18,16.8,302.4
Cardiothoracic Instrument,Clamp,DeBakey Bulldog Clamp (Curved),949,"Stainless SteelReusablePremium GradeSKUSize933211.5""933222""933232.5""933243""933253.5""933264""933274.5""..",0.001492537,Cook India,29/12/2024,29/12/2028,48,94.9,4555.2
Surgery,Scalpel,B.P. Handle (Scalpel Handle) No. 9,224,"B.P. Handle (Scalpel Handle) No. 9, stainless steel",0.001492537,3M India,12/9/2024,12/9/2028,11,22.4,246.4
Surgery,Instrument Kit,Advanced Lab Dissection Kit for Biology Anatomy Medical Students,849,Advanced Lab Dissection Kit for Biology Anatomy Medical Students 22 Pieces..,0.001492537,Max Healthcare Institute Limited,22/03/2024,22/03/2028,12,84.9,1018.8
Anesthesia Equipment,Artificial Resuscitator,Silicone Artificial Resuscitator (Ambu Type Bag) Child,799,Autoclavable artificial resuscitator.Capacity: 500 mlOxygen Reservoir Bag 2600 mlNon rebreathing val..,0.00199005,Dolphin Surgical,26/05/2023,26/05/2026,38,79.9,3036.2
Lab Plasticware,Coplin Jar & Slide Boxes,"Slide Box, Polystyrene (PS)",179,"These Slide Boxes are durable, compact & provide utmost protection to 1""x3"" slides. Heavy walls ..",0.000497512,Cook India,29/11/2022,29/11/2026,36,17.9,644.4
Surgery,Forceps,Littlewood Tissue Forceps,479,Littlewood Tissue Forceps..,0.001492537,Becton Dickinson,13/06/2024,13/06/2028,2,47.9,95.8
Surgery,Suction Units Electric,Suction Unit - ABS (30 Ltrs./Min),32088,Housing : FRP (Painted)Jars : Polycarbonate 2 X 2.5 Ltrs. capacityOverflow Protection : Mechanical t..,0.001492537,Thyrocare Technologies Limited,21/05/2022,21/05/2026,12,3208.8,38505.6
Hollowware,Douche Can,Douche Cans (Irrigators),330.4,Stainless Steel              Item Code    Capacity (Approx.)    70034    1 Ltr.     70035    1.5 Ltr..,0.000497512,Palakkad Surgical,20/03/2025,20/03/2029,35,33.04,1156.4
Anesthesia Equipment,Laryngoscope,LED Laryngoscope Set Miller (1 Year Warranty),2072,"LED laryngoscope set, pediatric, miller typeHandle & Blades are made of stainless steel 304 grad..",0.00199005,Integra,6/1/2024,6/1/2027,40,207.2,8288
Surgery,Scissors,Stevens Tenotomy Scissors (Curved),469,"Stevens Tenotomy Scissors (Curved)SKUSize941506""941517""..",0.001492537,Hindustan Surgical,16/02/2024,16/02/2028,23,46.9,1078.7
Opthalmology Instruments,Hook,Jameson Muscle Hook,199,Stainless SteelReusablePremium Grade..,0.000497512,M/S IMADE TECHNOLOGY PRIVATE LIMITED,25/06/2023,25/06/2027,45,19.9,895.5
Ortho Aid,Wrist & Elbow Splints,Finger Baseball Splint,184.8,"Size :        Small, Medium, Large        Specifications :        For protection and  support to tip..",0.000497512,Romsons,13/07/2024,13/07/2028,31,18.48,572.88
Furniture,Stretchers,Basket Stretcher,57209.94,Size: 219 x 64 x 18 cm (L x W x H)Self weight: 16 KgLoad weight: 272 Kg..,0.000497512,Dolphin Surgical,19/05/2024,19/05/2028,11,5720.994,62930.934
Anesthesia Equipment,Laryngoscope,LED Laryngoscope Set Macintosh (1 Year Warranty),2240,LED laryngoscope Set Macintosh Type (1 Year Warranty)Stainless Steel blades with removable LED lamp ..,0.00199005,Poly Medicure,26/03/2024,26/03/2027,15,224,3360
Lab Equipment,Laboratory Water Bath,High Precision Water Bath,16100,Suitable for all  laboratory application requiring constant temperature to high degree of  accuracy ..,0.000497512,Siemens Healthineers,4/10/2024,4/10/2028,42,1610,67620
Surgery,Retractor,Tracheal Hook/Retractor Sharp One Prong,200,Tracheal Hook/Retractor Sharp One Prong.Manufactured from stainless steel.Highly polished finish for..,0.001492537,B. Braun,23/01/2024,23/01/2028,39,20,780
Anesthesia Equipment,Anaesthesia Face Masks,"Face Mask, Size 3",224,"Anaesthesia Face Mask, Size 3            Made from silicon (green)Size: 3..",0.00199005,Reckitt Benckiser,23/10/2022,23/10/2025,26,22.4,582.4
Surgery,Instrument Kit,Cesarean Section Set,5992,You can also buy this product from our Amazon store.Buy Now    Cesarean Section Set Containi..,0.001492537,Max Healthcare Institute Limited,5/1/2025,5/1/2029,43,599.2,25765.6
Lab Plasticware,Racks & Stands,Nestler Cylinder Stand (Pack of 6 Pcs.),1269.68,"This stand, as the name suggests, is used for keeping nestler cylinders. Made of polypropylene, this..",0.000497512,Santosh Surgical Instruments,19/06/2023,19/06/2027,23,126.968,2920.264
Surgery,Instrument Kit,Premium Suture Practice Kit with Pad for Students,1549,"A COMPLETE SUTURE PRACTICE KIT - Unlike the other comparable products, it comes with everything a yo..",0.002985075,Johnson & Johnson,26/10/2024,26/10/2028,68,154.9,10533.2
Surgery,Forceps,"Foerster Sponge Holding Forceps, Straight",409,"The jaws are rounded.Suitable for first aid, paramedic, medical, veterinary, fishing etc.Self lockin..",0.001492537,Becton Dickinson,28/08/2022,28/08/2026,31,40.9,1267.9
Ortho Aid,Stockinette,Orthopaedic Stockinette,676.2,"Made up of finest,  soft, non-absorbent tubular rib weaved cotton                      Available in ..",0.000497512,Sree Balaji Surgicals,8/3/2025,8/3/2029,4,67.62,270.48
Lab Equipment,Laboratory Hot Plates,Laboratory Rectangular Heating Plate with Cast Iron Top 2kw with Digital Controller PID Based,25875.36,This is very useful  for continuous heating upto 350ÂºC.                     The body is made of  s..,0.000497512,Karl Storz,14/03/2024,14/03/2028,31,2587.536,80213.616
General,Stethoscope,IndoSurgicals Silvery II-SS Stethoscope (Free Engraving),1199,Product Details:Machined stainless steel chest piece.Double sided chest piece technology.Diaphragm D..,0.00199005,Ben Franklin Opticians,7/9/2024,7/9/2027,33,119.9,3956.7
General,Height & Weight Scales,"Baby Weighing Scale, Salter Type (Dial), ABS Plastic Body with Trouser",999,"Accurate and Reliable, Portable for Easy useWith two metal suspension hooksÂ Material: ABS Plast..",0.00199005,Intersurgical,28/09/2022,28/09/2025,34,99.9,3396.6
Laparoscopic Instrument,Trocar with Cannula,Trocar & Cannula 7mm,4229,Trocar & Cannula 7mm..,0.000497512,Rama Surgical House,14/04/2022,14/04/2026,20,422.9,8458
Anesthesia Equipment,Laryngoscope,Laryngoscope Blade (Miller),392,Stainless steel blades with removable LED lampBlades are made of stainless steel 304 gradeMatt finis..,0.00199005,Thyrocare Technologies Limited,7/10/2023,7/10/2026,41,39.2,1607.2
General,Cylinder,Oxygen Cylinder 46.7 Ltrs.,16614.4,"Empty Oxygen Cylinder, Water capacity 46.7 Litre.Supplied with F A Valve with Flowmeter and Pressure..",0.00199005,Boston Scientific,12/5/2022,12/5/2025,5,1661.44,8307.2
Rubber Products,Pessary Rubber Ring,Pessary Rubber Ring (50 Pcs.),2456.76,"Pessary Rubber Ring in high finish & boil able, red color.          Item Code    Size    35023  ..",0.000497512,Thyrocare Technologies Limited,11/8/2024,11/8/2028,48,245.676,11792.448
